IAU_code,name,start,end,peak,RA,DE,V,r,ZHR,_id
ANT,Antihelion Source,Dec 10,Sep 10,Jan 01,187.0000,-4.0000,30.0000,3.000,4,2
QUA,Quadrantids,Dec 26,Jan 12,Jan 04,230.0000,49.0000,41.0000,2.100,120,4
GUM,γ-Ursae Minorid,Jan 15,Jan 22,Jan 18,229.0000,67.0000,31.0000,3.000,3,1
ACE,α-Centaurids,Jan 28,Feb 21,Feb 08,210.0000,-59.0000,56.0000,2.000,6,5
GNO,γ-Normids,Feb 25,Mar 28,Mar 14,239.0000,-50.0000,56.0000,2.400,6,6
LYR,Lyrids,Apr 16,Apr 25,Apr 22,271.0000,34.0000,49.0000,2.100,18,7
PPU,π-Puppids,Apr 15,Apr 28,Apr 23,110.0000,-45.0000,18.0000,2.000,0,8
ETA,η-Aquariids,Apr 19,May 28,May 05,338.0000,-1.0000,66.0000,2.400,40,10
ELY,η-Lyrids,May 03,May 14,May 08,287.0000,44.0000,43.0000,3.000,3,11
TAH,τ Herculids,May 25,Jun 04,May 31,209.0000,28.0000,16.0000,2.500,10,48
ARI,Daytime Arietids,May 14,Jun 24,Jun 07,44.0000,24.0000,38.0000,2.800,50,12
JBO,June Bootids,Jun 22,Jul 02,Jun 27,224.0000,48.0000,18.0000,2.200,,13
JPE,July Pegasids,Jul 04,Jul 17,Jul 10,347.0000,10.0000,65.0000,3.000,3,47
PAU,Piscis Austrinids,Jul 15,Aug 10,Jul 28,341.0000,-30.0000,35.0000,3.200,0,14
GDR,July gamma-Draconids,Jul 25,Jul 31,Jul 28,280.0000,51.0000,27.0000,3.000,0,56
SDA,Southern δ-Aquariids,Jul 12,Aug 23,Jul 30,340.0000,-16.0000,41.0000,2.500,25,15
CAP,α-Capricornids,Jul 03,Aug 15,Jul 30,307.0000,-10.0000,23.0000,2.500,5,16
ERI,η-Eridanids,Jul 31,Aug 19,Aug 08,41.0000,-11.0000,64.0000,3.000,,49
PER,Perseids,Jul 17,Aug 24,Aug 12,48.0000,58.0000,59.0000,2.200,150,17
KCG,κ-Cygnids,Aug 03,Aug 25,Aug 17,286.0000,59.0000,25.0000,3.000,3,18
AUR,Aurigids,Aug 28,Sep 05,Aug 31,91.0000,39.0000,66.0000,2.500,6,19
NUE,ν-Eridanids,Sep 01,Oct 29,Sep 06,62.0000,4.0000,67.0000,0.950,,50
SPE,September ε-Perseids,Sep 05,Sep 21,Sep 09,48.0000,40.0000,64.0000,3.000,5,20
EER,epsilon-Eridanids 2025,Sep 10,Sep 14,Sep 12,52.0000,-15.0000,59.0000,3.000,0,55
CCY,χ-Cygnids,Sep 03,Sep 25,Sep 14,301.0000,33.0000,15.0000,3.000,,46
DSX,Daytime Sextantids,Sep 09,Oct 09,Sep 27,152.0000,0.0000,32.0000,2.500,5,21
OCT,October Camelopardalids,Oct 05,Oct 06,Oct 06,164.0000,79.0000,46.0000,2.500,0,44
DRA,Draconids,Oct 06,Oct 10,Oct 08,262.0000,54.0000,20.0000,2.600,,22
STA,Southern Taurids,Sep 10,Nov 20,Oct 10,32.0000,9.0000,27.0000,2.300,5,23
DAU,δ-Aurigids,Oct 10,Oct 18,Oct 11,84.0000,44.0000,64.0000,3.000,2,24
EGE,ε-Geminids,Oct 14,Oct 27,Oct 18,102.0000,27.0000,70.0000,3.000,3,25
ORI,Orionids,Oct 02,Nov 07,Oct 22,95.0000,16.0000,66.0000,2.500,15,26
LMI,Leonis Minorids,Oct 19,Oct 27,Oct 24,162.0000,37.0000,62.0000,3.000,2,27
NTA,Northern Taurids,Oct 20,Dec 10,Nov 12,58.0000,22.0000,29.0000,2.300,5,28
LEO,Leonids,Nov 06,Nov 30,Nov 17,152.0000,22.0000,71.0000,2.500,15,29
AMO,α-Monocerotids,Nov 15,Nov 25,Nov 21,117.0000,1.0000,65.0000,2.500,,30
NOO,November Orionids,Nov 13,Dec 06,Nov 28,91.0000,16.0000,44.0000,3.000,3,31
AND,Andromedids 2025,Nov 25,Dec 05,Nov 30,23.0000,50.0000,18.0000,3.000,0,57
PHO,Phoenicids,Nov 28,Dec 09,Dec 02,18.0000,-53.0000,18.0000,2.800,,32
DPC,December φ-Cassiopeids,Dec 01,Dec 08,Dec 06,24.0000,50.0000,16.0000,3.000,0,45
PUP,Puppid-Velids,Dec 01,Dec 15,Dec 07,123.0000,-45.0000,40.0000,2.900,10,33
MON,Monocerotids,Dec 05,Dec 20,Dec 08,100.0000,8.0000,41.0000,3.000,2,34
HYD,σ-Hydrids,Dec 03,Dec 15,Dec 11,127.0000,2.0000,58.0000,3.000,3,35
LSC,lambda-Scupltorids 2025,Dec 12,Dec 13,Dec 12,8.0000,-38.0000,11.0000,3.000,0,58
GEM,Geminids,Dec 04,Dec 20,Dec 14,112.0000,33.0000,35.0000,2.600,120,36
COM,Comae Berenicids,Dec 12,Feb 04,Dec 16,175.0000,18.0000,65.0000,3.000,3,38
DLM,December Leonis Minorids,Dec 05,Dec 24,Dec 20,161.0000,30.0000,64.0000,3.000,5,42
URS,Ursids,Dec 17,Dec 26,Dec 22,217.0000,76.0000,33.0000,3.000,0,43
