"Magnitude ID";"User ID";"Obs Session ID";Shower;"Start Date";"End Date";"Mag N6";"Mag N5";"Mag N4";"Mag N3";"Mag N2";"Mag N1";"Mag 0";"Mag 1";"Mag 2";"Mag 3";"Mag 4";"Mag 5";"Mag 6";"Mag 7"
360105;7466;87702;DLM;"2025-01-02 16:40:00";"2025-01-02 17:30:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
360106;7466;87702;SPO;"2025-01-02 16:40:00";"2025-01-02 17:30:00";0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;3.00;2.00;1.00;0.00;2.00;0.00
360107;18925;87703;QUA;"2025-01-03 05:42:00";"2025-01-03 06:00:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
360108;18925;87703;QUA;"2025-01-03 06:00:00";"2025-01-03 06:25:00";0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.50;0.50;0.00;0.00;0.00;0.00
360109;18925;87703;SPO;"2025-01-03 05:42:00";"2025-01-03 06:00:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
360110;18925;87703;SPO;"2025-01-03 06:00:00";"2025-01-03 06:25:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
360111;82;87704;ANT;"2025-01-02 20:40:00";"2025-01-02 21:20:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.50;1.50;0.00;0.00;1.00;0.00
360112;82;87704;QUA;"2025-01-02 20:40:00";"2025-01-02 21:20:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00
360113;82;87704;COM;"2025-01-02 20:40:00";"2025-01-02 21:20:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00
360114;82;87704;SPO;"2025-01-02 20:40:00";"2025-01-02 21:20:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.50;3.00;1.00;0.50;0.00
360115;7935;87705;QUA;"2025-01-02 23:30:00";"2025-01-02 23:45:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00
360116;7935;87705;SPO;"2025-01-02 23:30:00";"2025-01-02 23:45:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00
360117;7935;87705;QUA;"2025-01-02 23:45:00";"2025-01-03 00:00:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
360118;7935;87705;SPO;"2025-01-02 23:45:00";"2025-01-03 00:00:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00
360119;7935;87705;QUA;"2025-01-03 00:00:00";"2025-01-03 00:15:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00
360120;7935;87705;SPO;"2025-01-03 00:00:00";"2025-01-03 00:15:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00
360121;7935;87705;QUA;"2025-01-03 00:15:00";"2025-01-03 00:30:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;0.00;0.00;0.00
360122;7935;87705;SPO;"2025-01-03 00:15:00";"2025-01-03 00:30:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
360123;7935;87705;QUA;"2025-01-03 01:15:00";"2025-01-03 01:30:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
360124;7935;87705;SPO;"2025-01-03 01:15:00";"2025-01-03 01:30:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00
360125;7935;87705;QUA;"2025-01-03 01:30:00";"2025-01-03 01:45:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00
360126;7935;87705;SPO;"2025-01-03 01:30:00";"2025-01-03 01:45:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;1.00;0.00;0.00;0.00
360127;7935;87705;QUA;"2025-01-03 01:45:00";"2025-01-03 02:00:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00
360128;7935;87705;SPO;"2025-01-03 01:45:00";"2025-01-03 02:00:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;2.00;0.00;0.00;0.00;0.00
360129;7935;87705;QUA;"2025-01-03 02:15:00";"2025-01-03 02:30:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;2.00;0.00;0.00;0.00
360130;7935;87705;SPO;"2025-01-03 02:15:00";"2025-01-03 02:30:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;1.00;0.00;1.00;0.00;0.00;0.00
360131;112;87706;QUA;"2025-01-03 05:45:00";"2025-01-03 06:54:00";0.00;0.00;0.00;0.00;1.00;1.00;1.00;0.00;2.00;4.00;3.00;2.50;0.50;0.00
360132;112;87706;SPO;"2025-01-03 05:45:00";"2025-01-03 06:54:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;3.00;0.00;0.00
360133;8033;87707;QUA;"2025-01-02 23:30:00";"2025-01-02 23:45:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00
360134;8033;87707;SPO;"2025-01-02 23:30:00";"2025-01-02 23:45:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
360135;8033;87707;QUA;"2025-01-02 23:45:00";"2025-01-03 00:00:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
360136;8033;87707;SPO;"2025-01-02 23:45:00";"2025-01-03 00:00:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;2.00;0.00;0.00;0.00
360137;8033;87707;QUA;"2025-01-03 00:00:00";"2025-01-03 00:15:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00
360138;8033;87707;SPO;"2025-01-03 00:00:00";"2025-01-03 00:15:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00
360139;8033;87707;QUA;"2025-01-03 00:15:00";"2025-01-03 00:30:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00
360140;8033;87707;SPO;"2025-01-03 00:15:00";"2025-01-03 00:30:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00
360141;8033;87707;QUA;"2025-01-03 00:30:00";"2025-01-03 00:45:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00
360142;8033;87707;SPO;"2025-01-03 00:30:00";"2025-01-03 00:45:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00
360143;8033;87707;QUA;"2025-01-03 00:45:00";"2025-01-03 01:00:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;1.00;0.00;0.00
360144;8033;87707;SPO;"2025-01-03 00:45:00";"2025-01-03 01:00:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;2.00;0.00;2.00;0.00;0.00
360145;8033;87707;QUA;"2025-01-03 01:15:00";"2025-01-03 01:30:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00
360146;8033;87707;SPO;"2025-01-03 01:15:00";"2025-01-03 01:30:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;3.00;1.00;0.00;0.00
360147;8033;87707;QUA;"2025-01-03 01:30:00";"2025-01-03 01:45:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00
360148;8033;87707;SPO;"2025-01-03 01:30:00";"2025-01-03 01:45:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;3.00;0.00;0.00;0.00
360149;8033;87707;QUA;"2025-01-03 01:45:00";"2025-01-03 02:00:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00
