"Rate ID";"User ID";"Obs Session ID";"Start Date";"End Date";Ra;Decl;Teff;F;Lm;Shower;Method;Number
1076292;7466;87702;"2025-01-02 16:40:00";"2025-01-02 17:30:00";150.0000;0.0000;0.8333;1.0000;6.3;DLM;C;0
1076293;7466;87702;"2025-01-02 16:40:00";"2025-01-02 17:30:00";150.0000;0.0000;0.8333;1.0000;6.3;SPO;C;10
1076294;18925;87703;"2025-01-03 05:42:00";"2025-01-03 06:00:00";225.0000;49.0000;0.3000;3.3300;1.86;QUA;C;0
1076295;18925;87703;"2025-01-03 05:42:00";"2025-01-03 06:00:00";225.0000;49.0000;0.3000;3.3300;1.86;SPO;C;0
1076296;18925;87703;"2025-01-03 06:00:00";"2025-01-03 06:25:00";225.0000;49.0000;0.4167;1.3300;2.89;QUA;C;2
1076297;18925;87703;"2025-01-03 06:00:00";"2025-01-03 06:25:00";225.0000;49.0000;0.4167;1.3300;2.89;SPO;C;0
1076298;82;87704;"2025-01-02 20:40:00";"2025-01-02 21:20:00";90.0000;30.0000;0.6667;1.0000;6.39;ANT;C;3
1076299;82;87704;"2025-01-02 20:40:00";"2025-01-02 21:20:00";90.0000;30.0000;0.6667;1.0000;6.39;QUA;C;1
1076300;82;87704;"2025-01-02 20:40:00";"2025-01-02 21:20:00";90.0000;30.0000;0.6667;1.0000;6.39;COM;C;1
1076301;82;87704;"2025-01-02 20:40:00";"2025-01-02 21:20:00";90.0000;30.0000;0.6667;1.0000;6.39;SPO;C;5
1076302;7935;87705;"2025-01-02 23:30:00";"2025-01-02 23:45:00";126.5000;30.0000;0.2500;1.1100;5.8;QUA;C;1
1076303;7935;87705;"2025-01-02 23:30:00";"2025-01-02 23:45:00";126.5000;30.0000;0.2500;1.1100;5.8;SPO;C;1
1076304;7935;87705;"2025-01-02 23:45:00";"2025-01-03 00:00:00";130.2500;30.0000;0.2500;1.1100;5.8;QUA;C;0
1076305;7935;87705;"2025-01-02 23:45:00";"2025-01-03 00:00:00";130.2500;30.0000;0.2500;1.1100;5.8;SPO;C;2
1076306;7935;87705;"2025-01-03 00:00:00";"2025-01-03 00:15:00";134.0000;30.0000;0.2500;1.1100;5.8;QUA;C;1
1076307;7935;87705;"2025-01-03 00:00:00";"2025-01-03 00:15:00";134.0000;30.0000;0.2500;1.1100;5.8;SPO;C;1
1076308;7935;87705;"2025-01-03 00:15:00";"2025-01-03 00:30:00";137.7500;30.0000;0.2500;1.1100;5.8;QUA;C;3
1076309;7935;87705;"2025-01-03 00:15:00";"2025-01-03 00:30:00";137.7500;30.0000;0.2500;1.1100;5.8;SPO;C;0
1076310;7935;87705;"2025-01-03 01:15:00";"2025-01-03 01:30:00";152.7500;30.0000;0.2500;1.1100;5.8;QUA;C;0
1076311;7935;87705;"2025-01-03 01:15:00";"2025-01-03 01:30:00";152.7500;30.0000;0.2500;1.1100;5.8;SPO;C;2
1076312;7935;87705;"2025-01-03 01:30:00";"2025-01-03 01:45:00";156.5000;30.0000;0.2500;1.1100;5.8;QUA;C;2
1076313;7935;87705;"2025-01-03 01:30:00";"2025-01-03 01:45:00";156.5000;30.0000;0.2500;1.1100;5.8;SPO;C;3
1076314;7935;87705;"2025-01-03 01:45:00";"2025-01-03 02:00:00";160.2500;30.0000;0.2500;1.1100;5.8;QUA;C;1
1076315;7935;87705;"2025-01-03 01:45:00";"2025-01-03 02:00:00";160.2500;30.0000;0.2500;1.1100;5.8;SPO;C;4
