Session ID,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,rain,snowfall,weather_code,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high
87702,7.2455,96.30091,6.108509,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0
87703,5.322,96.58061,2.4701157,0.0,0.0,0.0,2.0,66.0,15.0,39.0,41.0
87704,1.1825,91.70368,-3.4140923,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0
87705,7.639,71.88916,5.6468935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87706,15.1395,86.14535,15.090549,0.0,0.0,0.0,3.0,98.0,11.0,0.0,98.0
87707,7.574,71.87674,5.569874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87709,1.4545,91.390045,-2.9821703,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0
87710,0.639,94.717514,-3.3374462,0.0,0.0,0.0,1.0,39.0,12.0,34.0,0.0
87711,7.6639996,20.970463,3.4616055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87712,-13.9405,67.3095,-18.438368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87713,-8.4795,60.408756,-13.426057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87714,-15.1015005,79.82978,-19.789028,0.0,0.0,0.0,2.0,51.0,0.0,39.0,20.0
87715,1.7099998,79.015015,-1.4550829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87716,3.8814998,90.26014,-1.0851166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87717,-2.4864998,83.88889,-6.431442,0.0,0.0,0.0,1.0,33.0,32.0,6.0,0.0
87718,-0.861,68.875084,-6.9009523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87719,10.564,39.850895,5.438074,0.0,0.0,0.0,3.0,83.0,0.0,0.0,83.0
87720,-0.424,52.264954,-6.8890877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87721,-1.2095001,83.419365,-6.779973,0.0,0.0,0.0,1.0,25.0,20.0,5.0,0.0
87722,-3.7254999,96.684135,-7.9413605,0.0,0.0,0.0,1.0,32.0,32.0,0.0,0.0
87723,-1.2095001,83.419365,-6.779973,0.0,0.0,0.0,1.0,25.0,20.0,5.0,0.0
87724,-0.105000496,90.28461,-2.6195335,0.0,0.0,0.0,3.0,80.0,0.0,0.0,80.0
87725,-0.119500004,72.23184,-6.203253,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
87726,2.078,48.111313,-2.1948977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87727,-0.119500004,72.23184,-6.203253,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
87728,11.825999,69.74173,10.0062895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87729,-1.4605,74.1903,-6.3955526,0.0,0.0,0.0,1.0,35.0,1.0,0.0,34.0
87730,6.5,76.1442,4.176326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87731,6.435,76.1333,4.0995197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87733,9.3515005,66.61506,7.1663265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87734,9.3,65.90251,4.8027554,0.0,0.0,0.0,2.0,54.0,8.0,12.0,47.0
87735,-1.1605,92.56931,-4.2214503,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0
87736,13.183001,84.812386,11.070175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87737,9.324,49.641453,6.0786295,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
87738,8.174,83.37762,6.5788813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87739,7.574,71.87674,5.569874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87740,-7.0734997,78.222404,-12.898959,0.0,0.0,0.0,1.0,29.0,29.0,0.0,0.0
87741,0.3255,91.98278,-3.5614276,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0
87742,10.011,86.497406,9.24902,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0
87743,8.611,98.98992,7.928445,0.0,0.0,0.0,3.0,100.0,93.0,0.0,100.0
87744,7.511,89.59421,5.935376,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
87745,7.574,71.87674,5.569874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87746,9.324,49.641453,6.0786295,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
87747,17.85,94.474754,18.777266,0.0,0.0,0.0,3.0,100.0,0.0,0.0,100.0
87748,9.389,49.65973,6.153245,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
87749,16.0975,95.92848,16.912743,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0
87750,8.361,69.77625,6.2590656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87751,13.207001,63.61898,9.622309,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0
87753,7.6,71.88171,5.6006756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87754,9.35,49.64876,6.108471,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
87755,1.4825001,80.74085,-2.825672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87756,2.1045,74.56269,-2.1209917,0.0,0.0,0.0,1.0,42.0,0.0,0.0,42.0
87757,-0.333,63.443768,-4.397346,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
87758,-4.283,41.352535,-8.733463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87759,15.1215,84.74448,13.801903,0.0,0.0,0.0,1.0,36.0,1.0,0.0,35.0
87760,7.7,88.07481,4.970498,0.0,0.0,0.0,2.0,50.0,0.0,26.0,45.0
87761,7.9545,86.589226,4.5835066,0.0,0.0,0.0,3.0,100.0,2.0,11.0,100.0
87762,3.6,95.514496,0.16532278,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0
87763,3.9045,95.5253,0.42377758,0.0,0.0,0.0,0.0,11.0,0.0,2.0,11.0
87764,3.8044999,89.933846,0.14005232,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0
87765,3.8044999,89.933846,0.14005232,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0
87766,1.8045,88.166374,-2.4058323,0.0,0.0,0.0,0.0,15.0,15.0,1.0,0.0
87767,1.5,89.10399,-2.429471,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
87769,-1.9,82.08749,-5.5606527,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0
87771,-1.7525,85.88821,-5.243981,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
87772,-2.8,88.399086,-6.4017954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87773,-0.711,95.007965,-3.966556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87774,0.75450003,95.41148,-1.644536,0.0,0.0,0.0,3.0,100.0,100.0,39.0,0.0
87775,-3.2455,87.693275,-6.916823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87776,-3.5455,86.344475,-7.323064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87777,-1.5109999,91.18645,-5.4700956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87778,-1.861,89.48001,-5.8757157,0.0,0.0,0.0,2.0,70.0,0.0,0.0,70.0
87779,2.0544999,89.79679,-1.9435966,0.0,0.0,0.0,3.0,100.0,100.0,0.0,0.0
87780,-0.91850007,82.52699,-5.8863287,0.0,0.0,0.0,0.0,17.0,16.0,1.0,0.0
87781,-7.2185,65.33184,-11.033442,0.0,0.0,0.0,3.0,87.0,87.0,0.0,0.0
87782,-4.1675,60.555275,-7.5246973,0.0,0.0,0.0,3.0,81.0,81.0,0.0,0.0
87783,-6.6675,73.201805,-10.518944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87784,-4.3675003,78.35648,-9.457408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87785,-3.8595,68.75801,-8.341755,0.0,0.0,0.0,3.0,100.0,100.0,0.0,0.0
87786,-6.7454996,73.18659,-10.602791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87787,-3.9455001,74.875725,-9.010414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87788,-8.468499,79.88355,-13.146074,0.0,0.0,0.0,2.0,71.0,1.0,24.0,68.0
87789,-9.8685,82.27701,-14.743264,0.0,0.0,0.0,1.0,29.0,29.0,0.0,0.0
87790,1.35,90.067154,-2.844175,0.0,0.0,0.0,2.0,61.0,0.0,0.0,61.0
87791,1.6044999,92.06319,-2.517226,0.0,0.0,0.0,2.0,62.0,0.0,0.0,62.0
87792,-6.1685,72.72185,-11.649677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87793,2.0825,94.4386,-0.80448985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87794,4.7045,86.873436,2.2315383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87795,4.0475,86.808105,1.2888832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87803,1.6545,98.22556,-1.5367231,0.0,0.0,0.0,3.0,100.0,6.0,64.0,100.0
87804,-0.76100004,87.92941,-4.1714087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87805,1.4045,83.743324,-1.9535923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87806,4.4045,75.51599,0.57345915,0.0,0.0,0.0,3.0,100.0,100.0,0.0,0.0
87807,-0.3025,90.9356,-3.2611792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87808,2.1325,79.95198,-1.4242809,0.0,0.0,0.0,3.0,97.0,0.0,0.0,97.0
87809,0.8325,83.06027,-2.8154638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87810,1.5044999,79.85944,-2.0948925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87811,0.789,88.0734,-2.410867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87812,3.089,78.65119,-0.65082216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87813,1.8325,73.148964,-1.7606952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87814,5.9325,73.37929,2.348383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87815,2.6325,74.93184,-0.62173367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87816,1.889,79.33271,-1.2770414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87817,1.7544999,73.134254,-1.8489234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87818,2.5544999,74.91799,-0.71072435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87819,0.9405,79.481834,-2.8471122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87820,2.4835,64.35409,-0.47723103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87821,-0.1675,59.936947,-4.2016244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87822,0.4545,56.95375,-3.5903463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87823,-0.8175,68.622665,-4.3688226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87824,-0.017500002,51.569565,-3.8125057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87825,0.29050002,56.690968,-3.0465984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87826,0.29050002,56.690968,-3.0465984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87827,3.639,52.802612,-1.0155494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87829,4.439,48.798405,-0.5662358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87830,8.839,73.648895,5.740424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87831,0.63250005,73.468414,-3.2196927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87832,4.5975,84.12676,2.0447416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87833,0.50450003,47.64759,-3.0244079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87834,1.9045,64.70189,-2.134632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87835,4.535,80.01312,1.4965153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87836,5.4325,88.801834,3.120428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87837,6.289,87.64041,3.3428807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87838,4.4325,76.895546,1.4382906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87839,4.1045003,89.95707,1.5226583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87840,7.9045,77.1859,5.341463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87841,5.5325,82.46623,2.0710278,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0
87842,7.2045,62.44332,3.4909325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87843,4.2215,88.06986,1.6851869,0.0,0.0,0.0,0.0,14.0,13.0,0.0,1.0
87844,5.8325,77.399475,2.4723034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87845,3.739,96.19697,0.90901566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87846,9.789,70.06266,5.910367,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
87847,3.361,83.67808,0.2584629,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
87848,4.161,73.316185,0.50415325,0.0,0.0,0.0,0.0,15.0,0.0,0.0,15.0
87849,7.0975,76.513824,3.9523382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87850,7.3335,69.07365,5.4102983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87851,9.539,74.289665,6.695017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87852,4.011,86.80445,1.8097134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87853,6.5325,84.94629,4.8791065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87854,15.574,92.270256,15.8370285,0.0,0.0,0.0,3.0,98.0,8.0,0.0,98.0
87856,6.389,88.57316,3.706966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87857,5.739,93.61279,2.933176,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
87858,6.9905,97.62702,5.572156,0.0,0.0,0.0,1.0,30.0,1.0,2.0,28.0
87859,7.1905,85.61399,5.1169987,0.0,0.0,0.0,3.0,100.0,100.0,0.0,0.0
87860,7.1905,85.61399,5.1169987,0.0,0.0,0.0,3.0,100.0,100.0,0.0,0.0
87861,6.9905,97.62702,5.572156,0.0,0.0,0.0,1.0,30.0,1.0,2.0,28.0
87862,11.6045,81.828674,10.85638,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0
87863,9.7705,62.382473,7.899379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87864,8.3255,96.990005,6.218005,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0
87865,3.869,77.64089,0.9524679,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
87866,6.822,97.62386,4.4300137,0.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0
87867,7.2974997,67.12003,3.6368985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87868,6.5825,77.79427,3.4503546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87869,8.15,69.48719,5.393463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87870,10.089,68.66984,7.2077227,0.0,0.0,0.0,0.0,16.0,2.0,16.0,0.0
87871,8.889,78.698265,6.8332615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87872,14.066999,50.24438,11.69393,0.0,0.0,0.0,3.0,90.0,0.0,0.0,90.0
87873,7.3104997,60.68846,4.5122366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87874,7.3104997,60.68846,4.5122366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87875,11.3,86.917046,10.647119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87876,15.339,68.109344,13.662247,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0
87877,11.6,85.20943,10.599757,0.0,0.0,0.0,2.0,58.0,0.0,0.0,58.0
87878,15.9235,92.88725,16.440672,0.0,0.0,0.0,2.0,79.0,79.0,0.0,0.0
87879,9.206,74.74988,5.814186,0.0,0.0,0.0,3.0,99.0,40.0,38.0,99.0
87880,9.934501,85.902664,7.6442165,0.0,0.0,0.0,3.0,84.0,0.0,4.0,83.0
87881,9.162,97.33797,7.576277,0.0,0.0,0.0,2.0,68.0,7.0,0.0,66.0
87882,12.985,87.07774,11.89328,0.0,0.0,0.0,3.0,100.0,0.0,18.0,100.0
87883,13.8095,94.30432,13.134193,0.0,0.0,0.0,2.0,68.0,68.0,0.0,0.0
87884,16.973501,91.17518,18.050219,0.0,0.0,0.0,3.0,90.0,90.0,0.0,0.0
87885,13.7935,68.95179,11.394609,0.0,0.0,0.0,3.0,100.0,9.0,6.0,100.0
87886,9.654,79.632355,7.1997223,0.0,0.0,0.0,3.0,100.0,52.0,0.0,100.0
87887,14.564,15.77431,10.906209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87888,18.5235,93.612465,19.666931,0.0,0.0,0.0,3.0,97.0,97.0,0.0,0.0
87889,11.287,74.595375,9.524102,0.0,0.0,0.0,2.0,67.0,0.0,0.0,67.0
87890,9.0595,92.82395,7.449795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87891,4.1095,88.059685,1.1079922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87892,14.414,77.93789,13.584747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87893,11.764,82.403946,8.180084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87894,12.764,99.673164,10.4951,0.0,0.0,0.0,3.0,100.0,100.0,0.0,0.0
87895,0.7645,65.17059,-2.7838063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87896,13.548,96.16263,13.586531,0.0,0.0,0.0,0.0,12.0,5.0,9.0,0.0
87897,18.323502,92.42612,19.512962,0.0,0.0,0.0,2.0,73.0,72.0,0.0,4.0
87898,12.064,40.739082,7.8454638,0.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0
87899,19.9235,95.4476,21.991508,0.0,0.0,0.0,3.0,83.0,17.0,4.0,79.0
87900,6.6254997,69.67229,2.5554242,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
87901,11.814,32.557755,8.138598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87902,9.042,76.56504,6.279999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87903,13.514,53.365177,10.084577,0.0,0.0,0.0,0.0,14.0,0.0,13.0,8.0
87904,8.264,81.38803,6.3199205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87905,12.298,92.99871,11.592024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87906,14.748,72.95904,12.957626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87907,9.6095,91.29432,8.510348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87908,10.909499,89.555374,9.694009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87909,11.709499,87.83558,10.61661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87910,8.054501,67.2832,4.401557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87911,10.6145,63.91373,7.1477327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87912,-5.5185,67.05247,-9.92729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87913,11.500999,58.743557,8.834415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87914,12.551,64.575356,10.365916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87915,-8.718499,72.50453,-13.482901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87916,6.9315,37.45127,1.1307192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87917,-1.7685001,58.373913,-5.06016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87918,-4.2185,40.525467,-9.401442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87919,2.4315,56.82949,-2.0155196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87920,4.1315,58.574947,-0.98346376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87921,2.3815,76.55462,-1.0011964,0.0,0.0,0.0,1.0,27.0,26.0,0.0,1.0
87922,3.4815,77.29764,0.3631692,0.0,0.0,0.0,1.0,33.0,33.0,0.0,0.0
87923,4.8315,71.08729,1.2565503,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0
87924,6.8884997,68.24449,4.2976665,0.0,0.0,0.0,2.0,52.0,1.0,36.0,28.0
87925,6.8884997,68.24449,4.2976665,0.0,0.0,0.0,2.0,52.0,1.0,36.0,28.0
87926,10.238999,65.646835,6.707958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87927,11.639,72.639465,9.482555,0.0,0.0,0.0,0.0,10.0,4.0,2.0,6.0
87928,11.389,88.10221,9.960289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87929,8.1475,75.88451,5.1935825,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
87930,10.6815,44.699455,5.755315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87931,12.3815,56.536274,8.975306,0.0,0.0,0.0,3.0,100.0,0.0,0.0,100.0
87932,12.6435,69.904076,11.180944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87933,11.3935,82.07884,9.799591,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
87935,12.731501,89.102936,11.636038,0.0,0.0,0.0,1.0,33.0,0.0,0.0,33.0
87936,15.9315,59.223305,13.875307,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0
87937,10.1315,78.07494,8.208777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87938,6.8315,42.593098,1.4109945,0.0,0.0,0.0,0.0,11.0,3.0,11.0,0.0
87939,11.494,82.36991,10.857636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
