Latitude,Longitude,City,Village_or_Hamlet,County,State,Country,CountryCode
36.5222222222,6.1194722222,Terrai Bainen,Beinen,Terrai Bainen District,Mila,Algeria,DZ
42.5088888889,1.5636111111,Unknown,Engolasters,Unknown,Unknown,Andorra,AD
42.6308333333,1.4841666667,Unknown,Unknown,Unknown,Unknown,Andorra,AD
-33.1779698785,-63.2810803131,Unknown,Santa Eufemia,Pedania La Carlota,Cordoba,Argentina,AR
-33.1958475015,-63.2889753953,Unknown,Santa Eufemia,Pedania La Carlota,Cordoba,Argentina,AR
-31.7465082506,-60.5227740126,Parana,Unknown,Distrito Sauce,Unknown,Argentina,AR
-36.0437329075,146.9107678978,Albury,Unknown,Unknown,New South Wales,Australia,AU
-30.9284032754,150.8481650066,Attunga,Unknown,Unknown,New South Wales,Australia,AU
-35.5703853579,148.0885226028,Batlow,Kunama,Unknown,New South Wales,Australia,AU
-29.8631276775,150.5649832695,Bingara,Unknown,Unknown,New South Wales,Australia,AU
-30.0864609938,145.8976156736,Bourke,Unknown,Bourke Shire Council,New South Wales,Australia,AU
-30.45799,145.93603,Bourke,Unknown,Bourke Shire Council,New South Wales,Australia,AU
-33.5131964736,148.6344675897,Canowindra,Unknown,Unknown,New South Wales,Australia,AU
-36.2520972222,149.0792972222,Cooma,Unknown,Unknown,New South Wales,Australia,AU
-29.7831433892,151.1199948468,Inverell,Unknown,Unknown,New South Wales,Australia,AU
-36.4331384419,148.6239135651,Jindabyne,Unknown,Unknown,New South Wales,Australia,AU
-36.1654720689,148.1574207631,Khancoban,Jagumba,Unknown,New South Wales,Australia,AU
-34.7050252702,150.0265216827,Marulan,Unknown,Unknown,New South Wales,Australia,AU
-34.7502512004,149.9752137469,Marulan,Unknown,Unknown,New South Wales,Australia,AU
-32.3954826458,142.3723194861,Menindee,Unknown,Central Darling Shire Council,New South Wales,Australia,AU
-30.4224,149.8514,Narrabri,Unknown,Unknown,New South Wales,Australia,AU
-33.9530333258,151.0372246489,Sydney,Unknown,Unknown,New South Wales,Australia,AU
-33.74364,151.06776,Sydney,Unknown,Unknown,New South Wales,Australia,AU
-33.9530972222,151.0371972222,Sydney,Unknown,Unknown,New South Wales,Australia,AU
-34.1021055556,150.9935444444,Sydney,Unknown,Unknown,New South Wales,Australia,AU
-33.9530133019,151.0372353777,Sydney,Unknown,Unknown,New South Wales,Australia,AU
-34.7460638901,150.0574529171,Tallong,Unknown,Unknown,New South Wales,Australia,AU
-35.3732225072,148.2571829811,Tumut,Jones Bridge,Unknown,New South Wales,Australia,AU
-35.1741468447,150.3698139753,Unknown,Unknown,Unknown,New South Wales,Australia,AU
-34.8006382064,148.333336445,Unknown,Jugiong,Unknown,New South Wales,Australia,AU
-35.6246976247,147.7868200933,Unknown,Carabost,Unknown,New South Wales,Australia,AU
-36.0388777778,148.7060083333,Unknown,Unknown,Unknown,New South Wales,Australia,AU
-34.828224297,149.0423775872,Unknown,Jerrawa,Unknown,New South Wales,Australia,AU
-29.35904,153.27683,Unknown,Woombah,Unknown,New South Wales,Australia,AU
-34.8830858499,149.3541747933,Unknown,Lerida,Unknown,New South Wales,Australia,AU
-33.8988816534,147.9213993772,Unknown,Bimbi,Unknown,New South Wales,Australia,AU
-33.1003459769,149.7292253268,Unknown,Sofala,Unknown,New South Wales,Australia,AU
-32.6248314961,149.3203474664,Unknown,Yarrabin,Unknown,New South Wales,Australia,AU
-32.3662028441,151.2519052143,Unknown,Unknown,Unknown,New South Wales,Australia,AU
-31.9232485762,151.237187742,Unknown,Moonan Flat,Unknown,New South Wales,Australia,AU
-29.5335543343,145.8270414654,Unknown,North Bourke,Bourke Shire Council,New South Wales,Australia,AU
-30.5355263779,145.1134931774,Unknown,Louth,Bourke Shire Council,New South Wales,Australia,AU
-33.6831221146,142.8418339362,Unknown,Arumpo,Balranald Shire Council,New South Wales,Australia,AU
-35.9809929157,148.7711263247,Unknown,Adaminaby,Unknown,New South Wales,Australia,AU
-36.1266,148.6186,Unknown,Eucumbene,Unknown,New South Wales,Australia,AU
-34.8282972222,149.0423,Unknown,Jerrawa,Unknown,New South Wales,Australia,AU
-35.9469,148.0827,Unknown,Tooma,Unknown,New South Wales,Australia,AU
-35.6263,148.2934,Unknown,Talbingo,Unknown,New South Wales,Australia,AU
-34.7795999153,150.8218984591,Unknown,Gerroa,Unknown,New South Wales,Australia,AU
-34.7777345547,150.8225743757,Unknown,Gerroa,Unknown,New South Wales,Australia,AU
-31.3524972222,149.8310972222,Unknown,Tambar Springs,Unknown,New South Wales,Australia,AU
-29.1645,149.7274,Unknown,Garah,Unknown,New South Wales,Australia,AU
-34.9375090152,149.3789333848,Unknown,Collector,Unknown,New South Wales,Australia,AU
-36.1691953708,149.093202869,Unknown,Unknown,Unknown,New South Wales,Australia,AU
-34.7189,150.2129,Unknown,Wingello,Unknown,New South Wales,Australia,AU
-36.0342,148.373,Unknown,Jagumba,Unknown,New South Wales,Australia,AU
-36.3593,148.2513,Unknown,Geehi,Unknown,New South Wales,Australia,AU
-36.43154,148.32891,Unknown,Charlotte Pass,Unknown,New South Wales,Australia,AU
-34.5646997207,149.4444405084,Unknown,Grabben Gullen,Unknown,New South Wales,Australia,AU
-34.3809295265,150.4889763678,Unknown,Colo Vale,Unknown,New South Wales,Australia,AU
-34.1862425852,150.5832547158,Unknown,Thirlmere,Unknown,New South Wales,Australia,AU
-34.7798406804,150.8220593916,Unknown,Gerroa,Unknown,New South Wales,Australia,AU
-34.8023782933,148.32667652,Unknown,Jugiong,Unknown,New South Wales,Australia,AU
-35.7491666667,149.2744444444,Unknown,Unknown,Unknown,New South Wales,Australia,AU
-35.9460629166,146.8832975648,Unknown,Jindera,Unknown,New South Wales,Australia,AU
-36.0157251965,148.3794113661,Unknown,Cabramurra,Unknown,New South Wales,Australia,AU
-36.0774611269,149.158941378,Unknown,Chakola,Unknown,New South Wales,Australia,AU
-36.3244444444,148.4744444444,Unknown,Unknown,Unknown,New South Wales,Australia,AU
-34.7227363892,149.8308034303,Unknown,Towrang,Unknown,New South Wales,Australia,AU
-33.3879713619,149.8929001252,Unknown,Sunny Corner,Unknown,New South Wales,Australia,AU
-33.4234603773,150.2010377144,Unknown,Unknown,Unknown,New South Wales,Australia,AU
-34.9003326703,149.2478754436,Unknown,Bellmount Forest,Unknown,New South Wales,Australia,AU
-35.980038998,148.0203691794,Unknown,Tooma,Unknown,New South Wales,Australia,AU
-34.2366208619,150.6693162239,Unknown,Wilton,Unknown,New South Wales,Australia,AU
-34.1346937132,150.5075911216,Unknown,Oakdale,Unknown,New South Wales,Australia,AU
-35.8112606372,147.6418333414,Unknown,Lankeys Creek,Unknown,New South Wales,Australia,AU
-31.5560064049,143.4033992072,Wilcannia,Unknown,Central Darling Shire Council,New South Wales,Australia,AU
-34.184667,150.968548,Wollongong City Council,Unknown,Unknown,New South Wales,Australia,AU
-34.1846,150.968548,Wollongong City Council,Unknown,Unknown,New South Wales,Australia,AU
-34.1841416667,150.9690027778,Wollongong City Council,Unknown,Unknown,New South Wales,Australia,AU
-26.7995865126,150.579897006,Chinchilla,Unknown,Unknown,Queensland,Australia,AU
-20.8068717424,139.996734253,Cloncurry,Unknown,Unknown,Queensland,Australia,AU
-18.2141890265,142.2522046022,Croydon,Unknown,Unknown,Queensland,Australia,AU
-17.8112,146.02983,El Arish,Unknown,Unknown,Queensland,Australia,AU
-18.62015,143.81954,Forsayth,Unknown,Unknown,Queensland,Australia,AU
-17.4455,140.83746,Karumba,Unknown,Unknown,Queensland,Australia,AU
-23.4034141444,144.2206477717,Longreach,Unknown,Unknown,Queensland,Australia,AU
-18.13945,144.6603,Mount Surprise,Unknown,Unknown,Queensland,Australia,AU
-17.69872,141.07816,Normanton,Unknown,Unknown,Queensland,Australia,AU
-26.9068752393,153.1377069113,Sunshine Coast Regional,Unknown,Unknown,Queensland,Australia,AU
-26.9061672519,153.1376210806,Sunshine Coast Regional,Unknown,Unknown,Queensland,Australia,AU
-26.4135396083,146.8852050776,Unknown,Unknown,Unknown,Queensland,Australia,AU
-21.0761182411,141.0172188261,Unknown,Unknown,Unknown,Queensland,Australia,AU
-19.7885,138.79712,Unknown,Unknown,Unknown,Queensland,Australia,AU
-18.70099,138.48763,Unknown,Unknown,Unknown,Queensland,Australia,AU
-19.9293616025,138.1159764846,Unknown,Camooweal,Unknown,Queensland,Australia,AU
-20.68885,139.66752,Unknown,Unknown,Unknown,Queensland,Australia,AU
-28.0946790381,152.8344227595,Unknown,Kooralbyn,Unknown,Queensland,Australia,AU
-17.57611,145.45094,Unknown,Tumoulin,Unknown,Queensland,Australia,AU
-16.45448,144.83783,Unknown,Unknown,Unknown,Queensland,Australia,AU
-17.52007,145.56796,Unknown,Unknown,Unknown,Queensland,Australia,AU
-18.09016,145.85349,Unknown,Unknown,Unknown,Queensland,Australia,AU
-23.14827,150.70766,Unknown,Unknown,Unknown,Queensland,Australia,AU
-23.5094,150.54932,Unknown,Unknown,Unknown,Queensland,Australia,AU
-24.90818,151.80497,Unknown,Unknown,Bundaberg Region,Queensland,Australia,AU
-17.54248,145.39737,Unknown,Kaban,Unknown,Queensland,Australia,AU
-28.0946908689,152.8343852086,Unknown,Kooralbyn,Unknown,Queensland,Australia,AU
-28.0946293486,152.8343825264,Unknown,Kooralbyn,Unknown,Queensland,Australia,AU
-28.0946577426,152.8343396111,Unknown,Kooralbyn,Unknown,Queensland,Australia,AU
-28.2979,152.86293,Unknown,Unknown,Unknown,Queensland,Australia,AU
-28.29534,152.86347,Unknown,Unknown,Unknown,Queensland,Australia,AU
-26.4779,149.9485972222,Unknown,Unknown,Unknown,Queensland,Australia,AU
-25.0259,147.8992,Unknown,Unknown,Unknown,Queensland,Australia,AU
-25.6091,148.7673,Unknown,Unknown,Unknown,Queensland,Australia,AU
-25.5091583333,153.1283583333,Unknown,Eurong,Unknown,Queensland,Australia,AU
-29.6477316928,138.0632884914,Marree,Unknown,Pastoral Unincorporated Area,South Australia,Australia,AU
-35.8963391911,139.4403682211,Unknown,Unknown,Coorong District Council,South Australia,Australia,AU
-35.9241711964,137.5616933026,Unknown,Unknown,Kangaroo Island Council,South Australia,Australia,AU
-33.4594316176,138.4325202567,Unknown,Gulnare,Unknown,South Australia,Australia,AU
-30.4528635314,137.1607479232,Unknown,Andamooka,Pastoral Unincorporated Area,South Australia,Australia,AU
-30.3214027064,136.9287803257,Unknown,Unknown,Pastoral Unincorporated Area,South Australia,Australia,AU
-30.3139167812,139.3326686088,Unknown,Arkaroola Village,Pastoral Unincorporated Area,South Australia,Australia,AU
-32.5755113956,139.5726941969,Unknown,Yunta,Pastoral Unincorporated Area,South Australia,Australia,AU
-17.2083,137.78471,Unknown,Unknown,Unknown,Unknown,Australia,AU
-16.0698424196,136.3086382064,Unknown,Borroloola,Unknown,Unknown,Australia,AU
-16.301904,135.70725,Unknown,Unknown,Unknown,Unknown,Australia,AU
-15.71742,135.64177,Unknown,Unknown,Unknown,Unknown,Australia,AU
-15.42,135.7144444444,Unknown,Unknown,Unknown,Unknown,Australia,AU
-15.41144,135.9376,Unknown,Unknown,Unknown,Unknown,Australia,AU
-15.56184,135.41657,Unknown,Unknown,Unknown,Unknown,Australia,AU
-13.543869639,131.3753827245,Unknown,Unknown,Unknown,Unknown,Australia,AU
-14.9196614714,133.0583526594,Unknown,Mataranka,Unknown,Unknown,Australia,AU
-19.43778,134.21196,Unknown,Unknown,Barkly Region,Unknown,Australia,AU
-35.1407448576,150.7215748219,Unknown,Jervis Bay Village,Unknown,Unknown,Australia,AU
-38.4360079229,142.5881591615,Allansford,Unknown,Unknown,Victoria,Australia,AU
-37.7784,145.4231,Melbourne,Unknown,Unknown,Victoria,Australia,AU
-37.7784020495,145.4232563895,Melbourne,Unknown,Unknown,Victoria,Australia,AU
-36.5728675103,146.7414859973,Myrtleford,Unknown,Unknown,Victoria,Australia,AU
-36.2317661787,147.1703732462,Tallangatta,Unknown,Unknown,Victoria,Australia,AU
-37.4724,149.5908,Unknown,Genoa,Unknown,Victoria,Australia,AU
-37.7114,149.1794,Unknown,Unknown,Unknown,Victoria,Australia,AU
-36.9945,147.1717,Unknown,Unknown,Mount Hotham Alpine Resort,Victoria,Australia,AU
-37.709778482,146.6638226519,Unknown,Unknown,Unknown,Victoria,Australia,AU
-37.61518,146.44824,Unknown,Unknown,Unknown,Victoria,Australia,AU
-38.1040266534,142.3220091454,Unknown,Hawkesdale,Unknown,Victoria,Australia,AU
-37.6945472222,147.3003083333,Unknown,Unknown,Unknown,Victoria,Australia,AU
-36.1031531186,147.2238330633,Unknown,Unknown,Unknown,Victoria,Australia,AU
-36.7760910865,146.7642234087,Unknown,Unknown,Unknown,Victoria,Australia,AU
-36.4714346902,146.5947455414,Unknown,Unknown,Unknown,Victoria,Australia,AU
-36.359069583,147.0222365505,Unknown,Unknown,Unknown,Victoria,Australia,AU
-36.4075744447,147.2312960912,Unknown,Unknown,Unknown,Victoria,Australia,AU
-36.8742884953,147.2918352388,Unknown,Falls Creek,Falls Creek Alpine Resort,Victoria,Australia,AU
-37.1777188807,147.70379076,Unknown,Swifts Creek,Unknown,Victoria,Australia,AU
-27.7371870032,114.1822041191,Kalbarri,Unknown,Unknown,Western Australia,Australia,AU
-27.21172,114.61238,Unknown,Unknown,Unknown,Western Australia,Australia,AU
-22.37982,114.10461,Unknown,Unknown,Unknown,Western Australia,Australia,AU
-25.98395,114.29955,Unknown,Unknown,Unknown,Western Australia,Australia,AU
47.2511111111,16.1361111111,Unknown,Kemeten,Bezirk Oberwart,Burgenland,Austria,AT
