pk_date,year,month_name,month,day,week_day,week_of_year,day_of_year,semester,trimester,bimester,is_leap_year
20220101,2022,Jan,1,1,5,52,1,1,1,1,0
20220102,2022,Jan,1,2,6,52,2,1,1,1,0
20220103,2022,Jan,1,3,0,1,3,1,1,1,0
20220104,2022,Jan,1,4,1,1,4,1,1,1,0
20220105,2022,Jan,1,5,2,1,5,1,1,1,0
20220106,2022,Jan,1,6,3,1,6,1,1,1,0
20220107,2022,Jan,1,7,4,1,7,1,1,1,0
20220108,2022,Jan,1,8,5,1,8,1,1,1,0
20220109,2022,Jan,1,9,6,1,9,1,1,1,0
20220110,2022,Jan,1,10,0,2,10,1,1,1,0
20220111,2022,Jan,1,11,1,2,11,1,1,1,0
20220115,2022,Jan,1,15,5,2,15,1,1,1,0
20220121,2022,Jan,1,21,4,3,21,1,1,1,0
20220126,2022,Jan,1,26,2,4,26,1,1,1,0
20220130,2022,Jan,1,30,6,4,30,1,1,1,0
20220202,2022,Feb,2,2,2,5,33,1,1,1,0
20220203,2022,Feb,2,3,3,5,34,1,1,1,0
20220204,2022,Feb,2,4,4,5,35,1,1,1,0
20220205,2022,Feb,2,5,5,5,36,1,1,1,0
20220206,2022,Feb,2,6,6,5,37,1,1,1,0
20220207,2022,Feb,2,7,0,6,38,1,1,1,0
20220209,2022,Feb,2,9,2,6,40,1,1,1,0
20220212,2022,Feb,2,12,5,6,43,1,1,1,0
20220221,2022,Feb,2,21,0,8,52,1,1,1,0
20220223,2022,Feb,2,23,2,8,54,1,1,1,0
20220224,2022,Feb,2,24,3,8,55,1,1,1,0
20220225,2022,Feb,2,25,4,8,56,1,1,1,0
20220226,2022,Feb,2,26,5,8,57,1,1,1,0
20220227,2022,Feb,2,27,6,8,58,1,1,1,0
20220228,2022,Feb,2,28,0,9,59,1,1,1,0
20220301,2022,Mar,3,1,1,9,60,1,1,2,0
20220302,2022,Mar,3,2,2,9,61,1,1,2,0
20220303,2022,Mar,3,3,3,9,62,1,1,2,0
20220304,2022,Mar,3,4,4,9,63,1,1,2,0
20220305,2022,Mar,3,5,5,9,64,1,1,2,0
20220307,2022,Mar,3,7,0,10,66,1,1,2,0
20220308,2022,Mar,3,8,1,10,67,1,1,2,0
20220309,2022,Mar,3,9,2,10,68,1,1,2,0
20220310,2022,Mar,3,10,3,10,69,1,1,2,0
20220311,2022,Mar,3,11,4,10,70,1,1,2,0
20220312,2022,Mar,3,12,5,10,71,1,1,2,0
20220313,2022,Mar,3,13,6,10,72,1,1,2,0
20220314,2022,Mar,3,14,0,11,73,1,1,2,0
20220318,2022,Mar,3,18,4,11,77,1,1,2,0
20220320,2022,Mar,3,20,6,11,79,1,1,2,0
20220321,2022,Mar,3,21,0,12,80,1,1,2,0
20220322,2022,Mar,3,22,1,12,81,1,1,2,0
20220323,2022,Mar,3,23,2,12,82,1,1,2,0
