sk_local,country,city,latitude,longitude,elevation_m,elevation_km,raw_city,raw_country
1,Andorra,Engolasters,42.5088888889,1.5636111111,1507,1.507,Engolasters,Andorra
2,Andorra,Ordino Arcadis,42.6308333333,1.4841666667,2209,2.209,Ordino Arcadis,Andorra
3,Argentina,Cordoba,-33.1958475015,-63.2889753953,153,0.153,Córdoba,Argentina
4,Argentina,Parana,-31.7465082506,-60.5227740126,79,0.079,Paraná,Argentina
5,Argentina,Santa Eufemia,-33.1779698785,-63.2810803131,154,0.154,Santa Eufemia,Argentina
6,Australia,Alaska Pool Lorella Stn,-15.41144,135.9376,14,0.014,Alaska Pool Lorella Stn,Australia
7,Australia,Beecroft,-33.74364,151.06776,148,0.148,Beecroft,Australia
8,Australia,Bilyana,-18.09016,145.85349,28,0.028,Bilyana,Australia
9,Australia,Bimbi,-33.8988816534,147.9213993772,279,0.279,Bimbi,Australia
10,Australia,Borroloola,-16.0698424196,136.3086382064,14,0.014,Borroloola,Australia
11,Australia,Camooweal,-19.9293616025,138.1159764846,226,0.226,Camooweal,Australia
12,Australia,Canowindra,-33.5131964736,148.6344675897,341,0.341,Canowindra,Australia
13,Australia,Carabost,-35.6246976247,147.7868200933,539,0.539,Carabost,Australia
14,Australia,Cloncurry,-20.8068717424,139.996734253,335,0.335,Cloncurry,Australia
15,Australia,Crossroads,-26.7995865126,150.579897006,301,0.301,Crossroads,Australia
16,Australia,Croydon,-18.2141890265,142.2522046022,121,0.121,Croydon,Australia
17,Australia,Douglas-daly,-13.543869639,131.3753827245,144,0.144,Douglas-Daly,Australia
18,Australia,Echo Gorge,-17.2083,137.78471,188,0.188,Echo Gorge,Australia
19,Australia,George Boyd Lo,-35.1741468447,150.3698139753,504,0.504,George Boyd LO,Australia
20,Australia,Gin Gin,-24.90818,151.80497,172,0.172,Gin Gin,Australia
21,Australia,Green Hills,-35.5703853579,148.0885226028,978,0.978,Green Hills,Australia
22,Australia,Heathcote Np,-34.184667,150.968548,242,0.242,Heathcote NP,Australia
23,Australia,Heathcote Np,-34.1841416667,150.9690027778,245,0.245,Heathcote NP,Australia
24,Australia,Helicopter Pool At Lorella,-15.42,135.7144444444,190,0.19,Helicopter Pool at Lorella,Australia
25,Australia,Inverell,-29.7831433892,151.1199948468,593,0.593,Inverell,Australia
26,Australia,Jugiong,-34.8006382064,148.333336445,411,0.411,Jugiong,Australia
27,Australia,Karumba Point,-17.4455,140.83746,2,0.002,Karumba Point,Australia
28,Australia,Khancoban,-36.1654720689,148.1574207631,510,0.51,Khancoban,Australia
29,Australia,Kooralbyn,-28.0946790381,152.8344227595,146,0.146,Kooralbyn,Australia
30,Australia,Lawn Hill,-18.70099,138.48763,142,0.142,Lawn Hill,Australia
31,Australia,Lerida,-34.8830858499,149.3541747933,771,0.771,Lerida,Australia
32,Australia,Limmen Np,-16.301904,135.70725,99,0.099,Limmen NP,Australia
33,Australia,Listen Np,-16.301904,135.70725,99,0.099,Listen NP,Australia
34,Australia,Longreach,-23.4034141444,144.2206477717,185,0.185,Longreach,Australia
35,Australia,Lorella Springs,-15.71742,135.64177,80,0.08,Lorella Springs,Australia
36,Australia,Manton,-34.828224297,149.0423775872,815,0.815,Manton,Australia
37,Australia,Mataranka,-14.9196614714,133.0583526594,140,0.14,Mataranka,Australia
38,Australia,Mckinlay,-21.0761182411,141.0172188261,201,0.201,Mckinlay,Australia
39,Australia,Millaa Millaa Lookout,-17.52007,145.56796,1062,1.062,Millaa Millaa Lookout,Australia
40,Australia,Mission Beach,-17.8112,146.02983,24,0.024,Mission Beach,Australia
41,Australia,Mt Isa,-20.68885,139.66752,320,0.32,Mt Isa,Australia
