pk_time,hour,minute,second,label
0,0,0,0,HH:MM:SS
100,0,1,0,HH:MM:SS
200,0,2,0,HH:MM:SS
300,0,3,0,HH:MM:SS
400,0,4,0,HH:MM:SS
500,0,5,0,HH:MM:SS
600,0,6,0,HH:MM:SS
700,0,7,0,HH:MM:SS
800,0,8,0,HH:MM:SS
900,0,9,0,HH:MM:SS
1000,0,10,0,HH:MM:SS
1200,0,12,0,HH:MM:SS
1300,0,13,0,HH:MM:SS
1400,0,14,0,HH:MM:SS
1500,0,15,0,HH:MM:SS
1600,0,16,0,HH:MM:SS
1700,0,17,0,HH:MM:SS
1800,0,18,0,HH:MM:SS
1900,0,19,0,HH:MM:SS
2000,0,20,0,HH:MM:SS
2100,0,21,0,HH:MM:SS
2200,0,22,0,HH:MM:SS
2300,0,23,0,HH:MM:SS
2400,0,24,0,HH:MM:SS
2500,0,25,0,HH:MM:SS
2600,0,26,0,HH:MM:SS
2700,0,27,0,HH:MM:SS
2800,0,28,0,HH:MM:SS
3000,0,30,0,HH:MM:SS
3100,0,31,0,HH:MM:SS
3200,0,32,0,HH:MM:SS
3300,0,33,0,HH:MM:SS
3400,0,34,0,HH:MM:SS
3500,0,35,0,HH:MM:SS
3600,0,36,0,HH:MM:SS
3700,0,37,0,HH:MM:SS
3800,0,38,0,HH:MM:SS
3900,0,39,0,HH:MM:SS
4000,0,40,0,HH:MM:SS
4100,0,41,0,HH:MM:SS
4200,0,42,0,HH:MM:SS
4300,0,43,0,HH:MM:SS
4400,0,44,0,HH:MM:SS
4500,0,45,0,HH:MM:SS
4600,0,46,0,HH:MM:SS
4700,0,47,0,HH:MM:SS
4800,0,48,0,HH:MM:SS
4900,0,49,0,HH:MM:SS
5000,0,50,0,HH:MM:SS
5100,0,51,0,HH:MM:SS
5200,0,52,0,HH:MM:SS
5300,0,53,0,HH:MM:SS
5400,0,54,0,HH:MM:SS
5500,0,55,0,HH:MM:SS
5600,0,56,0,HH:MM:SS
5700,0,57,0,HH:MM:SS
5800,0,58,0,HH:MM:SS
5900,0,59,0,HH:MM:SS
10000,1,0,0,HH:MM:SS
10100,1,1,0,HH:MM:SS
10300,1,3,0,HH:MM:SS
10400,1,4,0,HH:MM:SS
10500,1,5,0,HH:MM:SS
10600,1,6,0,HH:MM:SS
10700,1,7,0,HH:MM:SS
10800,1,8,0,HH:MM:SS
11000,1,10,0,HH:MM:SS
11300,1,13,0,HH:MM:SS
11400,1,14,0,HH:MM:SS
11500,1,15,0,HH:MM:SS
11700,1,17,0,HH:MM:SS
11800,1,18,0,HH:MM:SS
11900,1,19,0,HH:MM:SS
12000,1,20,0,HH:MM:SS
12100,1,21,0,HH:MM:SS
12200,1,22,0,HH:MM:SS
12300,1,23,0,HH:MM:SS
12400,1,24,0,HH:MM:SS
12500,1,25,0,HH:MM:SS
12600,1,26,0,HH:MM:SS
12700,1,27,0,HH:MM:SS
12900,1,29,0,HH:MM:SS
13000,1,30,0,HH:MM:SS
13100,1,31,0,HH:MM:SS
13200,1,32,0,HH:MM:SS
13300,1,33,0,HH:MM:SS
13400,1,34,0,HH:MM:SS
13500,1,35,0,HH:MM:SS
13600,1,36,0,HH:MM:SS
13700,1,37,0,HH:MM:SS
13800,1,38,0,HH:MM:SS
13900,1,39,0,HH:MM:SS
14000,1,40,0,HH:MM:SS
14200,1,42,0,HH:MM:SS
14300,1,43,0,HH:MM:SS
14400,1,44,0,HH:MM:SS
14500,1,45,0,HH:MM:SS
14600,1,46,0,HH:MM:SS
14700,1,47,0,HH:MM:SS
14800,1,48,0,HH:MM:SS
15000,1,50,0,HH:MM:SS
15200,1,52,0,HH:MM:SS
15300,1,53,0,HH:MM:SS
15400,1,54,0,HH:MM:SS
15500,1,55,0,HH:MM:SS
15700,1,57,0,HH:MM:SS
15800,1,58,0,HH:MM:SS
15900,1,59,0,HH:MM:SS
20000,2,0,0,HH:MM:SS
20200,2,2,0,HH:MM:SS
20300,2,3,0,HH:MM:SS
20500,2,5,0,HH:MM:SS
20600,2,6,0,HH:MM:SS
20700,2,7,0,HH:MM:SS
20800,2,8,0,HH:MM:SS
20900,2,9,0,HH:MM:SS
21000,2,10,0,HH:MM:SS
21100,2,11,0,HH:MM:SS
21200,2,12,0,HH:MM:SS
21300,2,13,0,HH:MM:SS
21500,2,15,0,HH:MM:SS
21600,2,16,0,HH:MM:SS
21700,2,17,0,HH:MM:SS
21800,2,18,0,HH:MM:SS
22000,2,20,0,HH:MM:SS
22200,2,22,0,HH:MM:SS
22400,2,24,0,HH:MM:SS
22500,2,25,0,HH:MM:SS
22600,2,26,0,HH:MM:SS
22700,2,27,0,HH:MM:SS
22800,2,28,0,HH:MM:SS
22900,2,29,0,HH:MM:SS
23000,2,30,0,HH:MM:SS
23100,2,31,0,HH:MM:SS
23300,2,33,0,HH:MM:SS
23500,2,35,0,HH:MM:SS
23600,2,36,0,HH:MM:SS
23700,2,37,0,HH:MM:SS
23800,2,38,0,HH:MM:SS
24000,2,40,0,HH:MM:SS
24100,2,41,0,HH:MM:SS
24200,2,42,0,HH:MM:SS
24300,2,43,0,HH:MM:SS
24500,2,45,0,HH:MM:SS
24600,2,46,0,HH:MM:SS
24700,2,47,0,HH:MM:SS
24800,2,48,0,HH:MM:SS
24900,2,49,0,HH:MM:SS
25000,2,50,0,HH:MM:SS
25200,2,52,0,HH:MM:SS
25400,2,54,0,HH:MM:SS
25500,2,55,0,HH:MM:SS
25600,2,56,0,HH:MM:SS
25700,2,57,0,HH:MM:SS
25800,2,58,0,HH:MM:SS
25900,2,59,0,HH:MM:SS
30000,3,0,0,HH:MM:SS
30200,3,2,0,HH:MM:SS
30300,3,3,0,HH:MM:SS
30400,3,4,0,HH:MM:SS
30500,3,5,0,HH:MM:SS
30600,3,6,0,HH:MM:SS
31000,3,10,0,HH:MM:SS
31100,3,11,0,HH:MM:SS
31400,3,14,0,HH:MM:SS
31500,3,15,0,HH:MM:SS
31600,3,16,0,HH:MM:SS
31800,3,18,0,HH:MM:SS
32000,3,20,0,HH:MM:SS
32100,3,21,0,HH:MM:SS
32200,3,22,0,HH:MM:SS
32400,3,24,0,HH:MM:SS
32500,3,25,0,HH:MM:SS
32700,3,27,0,HH:MM:SS
32800,3,28,0,HH:MM:SS
32900,3,29,0,HH:MM:SS
33000,3,30,0,HH:MM:SS
33200,3,32,0,HH:MM:SS
33300,3,33,0,HH:MM:SS
33400,3,34,0,HH:MM:SS
33500,3,35,0,HH:MM:SS
33700,3,37,0,HH:MM:SS
33800,3,38,0,HH:MM:SS
34000,3,40,0,HH:MM:SS
34100,3,41,0,HH:MM:SS
34300,3,43,0,HH:MM:SS
34400,3,44,0,HH:MM:SS
34500,3,45,0,HH:MM:SS
34700,3,47,0,HH:MM:SS
34800,3,48,0,HH:MM:SS
35000,3,50,0,HH:MM:SS
35100,3,51,0,HH:MM:SS
35200,3,52,0,HH:MM:SS
35300,3,53,0,HH:MM:SS
35400,3,54,0,HH:MM:SS
35500,3,55,0,HH:MM:SS
35600,3,56,0,HH:MM:SS
40000,4,0,0,HH:MM:SS
40200,4,2,0,HH:MM:SS
40300,4,3,0,HH:MM:SS
40400,4,4,0,HH:MM:SS
40500,4,5,0,HH:MM:SS
40900,4,9,0,HH:MM:SS
41000,4,10,0,HH:MM:SS
