fk_user_submitter,fk_user_observer,fk_start_date,fk_start_time,fk_end_date,fk_end_time,sk_local,sk_shower,sk_junk,id_session,id_observation,right_ascention,declination,effective_time,correction_factor,meteors_counted
96,96,20220109,164000,20220109,170000,56,27,1,83550,1012394,150.0000,0.0000,0.3333,1.0000,0
153,153,20220104,11000,20220104,12000,214,25,1,83551,1012414,156.1400,30.0000,0.1660,1.0000,1
40,40,20220419,200500,20220419,211100,176,27,4,83836,1014015,160.0000,25.0000,1.1000,1.0000,0
49,49,20220422,233000,20220423,0,204,27,1,83861,1014215,240.0000,30.0000,0.5000,1.0000,1
80,80,20220506,84500,20220506,90000,70,27,1,83934,1014777,300.0000,0.0000,0.2500,1.4000,0
96,96,20220524,191000,20220524,193000,11,2,1,83993,1015187,330.0000,0.0000,0.3333,1.0000,0
140,140,20220529,82700,20220529,84700,317,29,1,84014,1015459,295.0000,35.0000,0.3333,1.0000,0
87,87,20220529,194100,20220529,195600,96,29,1,84016,1015481,222.0000,14.0000,0.2500,1.0000,0
115,115,20220531,73100,20220531,80100,329,29,1,84059,1016183,234.0000,27.0000,0.5000,1.0000,12
44,44,20220531,42900,20220531,43900,314,29,1,84071,1016363,200.0000,10.0000,0.1670,1.0000,10
44,44,20220531,61900,20220531,62900,314,26,3,84071,1016408,230.0000,10.0000,0.1670,1.0000,0
44,44,20220531,100600,20220531,101600,314,26,3,84071,1016492,265.0000,20.0000,0.1460,1.0000,0
51,51,20220524,235200,20220525,5700,115,29,1,84091,1016880,270.0000,35.0000,1.0500,1.0000,0
59,59,20220724,204500,20220724,214500,198,1,1,84170,1017568,255.0000,20.0000,1.0000,1.0000,1
59,59,20220726,204500,20220726,214500,198,1,1,84185,1017687,255.0000,20.0000,1.0000,1.0000,4
163,163,20220727,154500,20220727,160900,90,18,1,84196,1017799,315.0000,25.0000,0.4000,1.0000,0
58,58,20220729,61100,20220729,70000,312,18,1,84227,1018106,330.0000,10.0000,0.8167,1.0000,6
39,39,20220730,230000,20220731,600,265,35,1,84232,1018171,294.0000,21.0000,1.1000,1.1100,9
58,58,20220731,44400,20220731,65300,312,1,1,84235,1018246,345.0000,10.0000,2.1500,1.0000,3
59,59,20220802,5500,20220802,15500,198,27,1,84243,1018375,345.0000,15.0000,1.0000,1.0000,3
