Session ID,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
83503,-2.7185001,84.49675,-4.9685,-8.536646,0.0,0.0,0.0,0.02,2.0,1020.2,990.6905,50.0,50.0,0.0,0.0,0.008511141,0.07782698,20.833395,32.491867,350.04944,350.43338,39.6,-0.2685,-2.0685,0.18149999,5.3815,0.401,0.393,0.38,0.352
83504,8.75,92.80692,7.65,6.063385,0.0,0.0,0.0,0.0,3.0,1020.4,1016.0827,100.0,7.0,40.0,98.0,0.0,0.08135104,14.24163,28.174458,200.72563,206.56499,25.919998,9.05,8.0,4.25,8.8,0.389,0.394,0.364,0.297
83505,5.324,60.64093,-1.676,1.8930478,0.0,0.0,0.0,0.0,0.0,1024.2,987.55853,0.0,0.0,0.0,0.0,0.016781997,0.35204393,7.2805495,13.684735,81.46932,88.4926,12.959999,6.574,11.374,14.274,20.974,0.348,0.342,0.183,0.173
83507,2.889,57.59895,-4.6610003,-0.60144997,0.0,0.0,0.0,0.0,0.0,1022.0,929.67224,0.0,0.0,0.0,0.0,0.008896981,0.3196733,5.1165614,7.928178,50.710617,357.3975,11.5199995,3.039,7.5889997,11.189,18.389,0.327,0.337,0.211,0.191
83508,7.174,80.39075,4.024,3.193346,0.0,0.0,0.0,0.0,0.0,1005.8,1000.5457,13.0,13.0,0.0,0.0,0.018455587,0.19925582,17.57744,32.417995,235.0079,240.01845,33.48,7.024,7.324,5.474,8.374,0.397,0.399,0.378,0.332
83509,0.4055,81.48657,-2.3945,-3.9588892,0.0,0.0,0.0,0.44,3.0,1014.1,866.66455,100.0,100.0,7.0,0.0,0.0054582027,0.1168555,13.009903,26.341572,165.5792,183.91817,27.359999,-0.69449997,-0.1945,2.5055,8.5555,0.28,0.274,0.212,0.19
83510,7.5325,82.720795,4.7825,3.491107,0.1,0.1,0.0,0.0,51.0,1005.0,1002.4352,36.0,31.0,12.0,0.0,0.016834317,0.17993098,19.05281,33.425762,247.79646,247.85477,41.039997,7.7825,7.7825,5.8325,9.0825,0.393,0.391,0.366,0.324
83511,7.1545,80.953964,4.1045003,3.1419482,0.0,0.0,0.0,0.0,1.0,1004.5,999.49536,33.0,26.0,18.0,0.0,0.017979741,0.19327468,17.906157,31.877792,239.82657,243.14566,34.92,7.1545,7.0545,5.1045003,10.9045,0.694,0.692,0.65,0.578
83512,4.3025002,93.87122,3.4025,-0.1918459,0.0,0.0,0.0,0.0,3.0,1003.5,983.8393,100.0,100.0,0.0,0.0,0.0,0.05105245,20.265795,35.33506,257.692,261.20953,34.92,3.3525,2.9524999,1.7025,6.7025003,0.401,0.395,0.34,0.308
83513,7.357,95.645294,6.707,5.025526,0.0,0.0,0.0,0.0,0.0,1022.7,964.1266,0.0,0.0,0.0,0.0,0.0,0.04480511,10.24578,8.913181,288.43503,316.63654,14.759999,8.007,14.407001,20.307001,24.557001,0.063,0.003,0.038,0.116
83514,7.424,78.75184,3.974,3.4453034,0.0,0.0,0.0,0.0,0.0,1006.1,1000.8489,13.0,12.0,5.0,0.0,0.021150928,0.2196297,17.49615,32.359974,233.3658,237.72438,34.2,7.274,7.374,5.424,8.374,0.398,0.399,0.378,0.332
83515,5.5315,90.70044,4.1315,1.6701646,0.0,0.0,0.0,0.0,0.0,1013.6,975.4626,7.0,7.0,0.0,0.0,0.0012174738,0.084389925,16.904673,33.092598,243.43501,247.61981,32.039997,5.1815,5.4315,5.4315,8.8315,0.368,0.363,0.326,0.242
83516,6.1905,82.550575,3.4404998,2.2419038,0.0,0.0,0.0,0.0,1.0,1005.2,990.8177,24.0,21.0,8.0,0.0,0.0131734535,0.16572839,16.575644,30.684587,235.6196,238.92102,31.68,5.9905,6.4405,4.6405,7.8405,0.399,0.404,0.384,0.319
83517,7.1545,80.953964,4.1045003,3.1419482,0.0,0.0,0.0,0.0,1.0,1004.5,999.49536,33.0,26.0,18.0,0.0,0.017979741,0.19327468,17.906157,31.877792,239.82657,243.14566,34.92,7.1545,7.0545,5.1045003,10.9045,0.694,0.692,0.65,0.578
83518,6.7185,88.60159,4.9685,2.6804976,0.0,0.0,0.0,0.0,3.0,1000.5,998.30457,100.0,18.0,21.0,0.0,0.006906293,0.11226225,19.296135,33.77291,233.3438,238.51259,39.6,5.4685,6.2685,4.8185,8.4185,0.399,0.409,0.376,0.334
83519,8.678,80.881226,5.578,6.9272842,0.0,0.0,0.0,nan,0.0,1019.5,1017.03204,0.0,0.0,0.0,0.0,0.0,0.21518606,4.510787,9.726664,298.61035,231.009,7.92,10.928,14.528,16.528,22.227999,0.35,0.344,0.185,0.196
83520,2.578,86.036766,0.47799993,-1.7349954,0.0,0.0,0.0,0.13,3.0,1012.7,904.59283,100.0,61.0,0.0,100.0,0.0046200952,0.10299122,15.517629,29.237675,266.00916,260.07382,44.28,2.828,3.5279999,3.428,5.978,0.391,0.4,0.408,0.38
83521,7.002,83.52628,4.402,2.1291552,0.0,0.0,0.0,0.0,3.0,1011.0,980.25476,100.0,74.0,1.0,99.0,0.019457925,0.16543484,24.216522,41.94116,228.01286,237.26477,51.839996,5.602,4.502,4.002,7.652,0.362,0.37,0.374,0.346
83522,6.974,49.157974,-2.976,3.750101,0.0,0.0,0.0,0.0,0.0,1024.2,987.7697,3.0,0.0,0.0,3.0,0.0149295945,0.50956684,4.6800003,3.6,67.3801,36.86999,8.28,5.024,9.674,13.874,20.724,0.303,0.317,0.184,0.173
83523,7.357,95.645294,6.707,5.025526,0.0,0.0,0.0,0.0,0.0,1022.7,964.1266,0.0,0.0,0.0,0.0,0.0,0.04480511,10.24578,8.913181,288.43503,316.63654,14.759999,8.007,14.407001,20.307001,24.557001,0.063,0.003,0.038,0.116
