Ano,Mês,Dia,Hora,Latitude,Longitude,count
2022,8,12,22,48.5688888889,21.7219444444,10
2022,8,2,21,49.93389,13.27556,10
2022,7,30,23,49.93389,13.27556,9
2022,8,3,20,49.93389,13.27556,9
2022,7,27,21,49.93389,13.27556,7
2022,8,9,23,49.3997222222,21.4680555556,5
2022,8,4,21,49.93389,13.27556,5
2022,8,12,20,49.1758333333,18.3413888889,5
2022,1,3,23,30.5652777778,34.8852777778,4
2022,8,4,22,49.93389,13.27556,4
2022,9,4,20,42.9794444444,17.1941666667,3
2022,8,11,21,49.1758333333,18.3413888889,3
2022,6,26,21,49.7822222222,17.0377777778,3
2022,9,2,20,42.9794444444,17.1941666667,3
2022,8,16,20,49.7822222222,17.0377777778,3
2022,8,12,22,52.4474573509,12.9205127207,2
2022,12,14,20,51.12,13.61,2
2022,11,15,19,51.12,13.61,2
2022,8,31,21,42.9794444444,17.1941666667,2
2022,8,3,21,51.12,13.61,2
2022,12,13,16,30.3080555556,35.1330555556,2
2022,11,19,0,51.12,13.61,2
2022,7,16,21,51.12,13.61,2
2022,5,30,21,52.1,14.07,2
2022,4,22,21,51.12,13.61,2
2022,1,8,19,51.12,13.61,2
2022,4,23,20,51.12,13.61,2
2022,7,27,6,30.2767,-103.595963,2
2022,8,12,20,51.12,13.61,2
2022,12,14,17,30.3080555556,35.1330555556,2
2022,8,12,22,52.1236,8.7018,2
2022,1,10,5,39.65973,-86.05006,2
2022,8,12,0,49.1758333333,18.3413888889,2
2022,8,11,0,30.3080555556,35.1330555556,2
2022,7,23,21,51.12,13.61,2
2022,11,18,17,30.3080555556,35.1330555556,2
2022,11,13,17,51.12,13.61,2
2022,5,31,5,43.11,-123.8563888889,2
2022,11,14,18,51.12,13.61,2
2022,12,13,17,51.12,13.61,2
2022,5,5,6,-22.4105555556,-45.5352777778,1
2022,5,8,23,52.4565337898,12.9708741108,1
2022,8,3,22,45.96979,14.13502,1
2022,3,11,2,52.4565337898,12.9708741108,1
2022,8,3,5,30.2767,-103.595963,1
2022,10,28,21,45.96979,14.13502,1
2022,11,30,2,28.2127777778,-16.6813888889,1
2022,4,22,21,53.0325,20.7166666667,1
2022,5,29,21,28.3019892015,-16.5097773066,1
2022,5,7,3,27.9688888889,-15.5888888889,1
2022,1,8,15,-37.7784,145.4231,1
2022,2,6,11,32.862445,-116.860013,1
2022,8,4,21,51.12,13.61,1
2022,1,4,4,46.3634827226,15.6051089097,1
2022,8,11,0,30.30575,35.13343,1
2022,8,12,23,51.38602,7.3915,1
2022,8,30,21,52.4565337898,12.9708741108,1
2022,9,3,20,53.5,10.4833333333,1
2022,10,30,22,50.5246013326,10.4137914702,1
2022,11,19,5,33.6414805556,-79.2669444444,1
2022,10,22,5,45.2528,-75.0518,1
2022,8,10,21,49.4202777778,8.7475,1
2022,10,1,6,30.2767,-103.595963,1
2022,8,12,22,41.1886066085,1.5685229442,1
2022,12,14,13,45.765142,126.650162,1
2022,12,13,19,46.70792,23.59312,1
2022,4,23,21,51.2833333333,12.3666666667,1
2022,11,19,3,44.80021,8.54296,1
2022,12,12,19,50.7291356749,3.6146822924,1
2022,3,2,21,52.4565337898,12.9708741108,1
2022,3,23,19,52.85034,11.16467,1
2022,7,25,8,30.2767,-103.595963,1
2022,8,7,22,54.4738888889,-1.1836111111,1
2022,8,8,23,52.2538888889,7.0688888889,1
2022,10,27,18,51.12,13.61,1
2022,8,4,0,44.0588888889,5.5519444444,1
2022,8,10,7,47.5919972222,-79.4869972222,1
2022,3,23,18,54.2794444444,26.7438888889,1
2022,7,7,23,47.71704,37.55742,1
2022,8,6,4,-22.4105555556,-45.5352777778,1
2022,8,9,8,30.2767,-103.595963,1
2022,12,13,16,52.5030555556,12.7652777778,1
2022,12,14,15,54.2794444444,26.7438888889,1
2022,5,19,11,-13.543869639,131.3753827245,1
2022,7,23,20,35.1055379138,24.5613859583,1
2022,8,12,21,52.2994228987,5.6064925557,1
2022,9,21,23,28.3019892015,-16.5097773066,1
2022,11,18,4,45.434,-75.104,1
2022,11,19,4,44.879,-76.11,1
2022,2,12,2,52.4565337898,12.9708741108,1
2022,7,10,8,-27.6575,-48.5436111111,1
2022,8,18,17,35.92111,51.1102,1
2022,4,22,11,-26.4135396083,146.8852050776,1
2022,4,27,17,-23.4034141444,144.2206477717,1
2022,5,30,11,-18.13945,144.6603,1
2022,12,15,20,50.7291356749,3.6146822924,1
2022,1,3,16,36.2625,140.1016666667,1
2022,5,9,6,38.10025,-78.61604,1
2022,5,6,22,51.9452777778,-10.1761111111,1
2022,9,30,19,42.3597222222,2.8272222222,1
2022,5,31,2,37.3372320426,-2.20235214,1
2022,5,4,1,-23.3087222222,28.4985,1
2022,7,20,22,52.4565337898,12.9708741108,1
2022,7,29,2,42.4246666667,-8.85675,1
2022,3,28,1,52.4565337898,12.9708741108,1
2022,4,3,0,28.3019892015,-16.5097773066,1
2022,4,20,23,54.4738888889,-1.1836111111,1
2022,4,23,23,-31.7465082506,-60.5227740126,1
2022,4,28,19,54.2794444444,26.7438888889,1
2022,5,31,4,27.9848433943,-15.5698957764,1
2022,8,12,20,52.2538888889,7.0688888889,1
2022,8,31,21,60.3251699926,10.6485975599,1
2022,9,2,20,42.97577,17.17786,1
2022,11,5,16,-34.8006382064,148.333336445,1
2022,12,16,1,30.2767,-103.595963,1
2022,5,22,21,52.4475,12.9208333333,1
2022,7,24,21,52.4475,12.9208333333,1
2022,7,30,23,46.8080555556,16.01,1
2022,8,7,21,53.5,10.4833333333,1
2022,7,29,14,35.3361111111,140.3944444444,1
2022,8,16,20,52.4475,12.9208333333,1
2022,8,12,22,54.25,12.85,1
2022,1,6,21,54.2794444444,26.7438888889,1
2022,4,26,22,51.9816666667,-7.6330555556,1
2022,7,19,21,50.8008333333,12.6988888889,1
2022,8,2,21,52.4149010366,6.9663311679,1
2022,8,26,19,54.2794444444,26.7438888889,1
2022,9,1,19,54.2794444444,26.7438888889,1
2022,10,23,14,-38.6299,177.8833111111,1
2022,10,20,18,46.70792,23.59312,1
2022,7,23,19,41.57625,25.16617,1
2022,1,3,20,60.3251677554,10.6486093726,1
2022,4,21,23,52.1830555556,-6.3933333333,1
2022,5,27,23,44.412239,33.991304,1
2022,8,4,5,30.2767,-103.595963,1
2022,8,23,20,53.6908333333,12.1633333333,1
2022,7,24,21,48.5083333333,16.5530555556,1
2022,8,2,21,53.0325,20.7166666667,1
2022,8,12,0,49.4202777778,8.7475,1
2022,8,16,7,-22.4105555556,-45.5352777778,1
2022,10,18,22,52.2897578145,5.6123875482,1
2022,12,14,3,32.862445,-116.860013,1
2022,5,5,11,-16.301904,135.70725,1
2022,9,2,20,47.0477777778,-1.9913888889,1
2022,10,30,23,45.96979,14.13502,1
2022,3,29,20,52.4475,12.9208333333,1
2022,5,8,20,54.2794444444,26.7438888889,1
2022,7,3,22,52.4475,12.9208333333,1
2022,7,27,21,30.0506159611,35.0319844742,1
2022,8,12,21,53.5,10.4833333333,1
2022,9,4,20,42.97577,17.17786,1
2022,12,12,21,30.30575,35.13343,1
2022,11,21,2,50.7291356749,3.6146822924,1
2022,3,3,6,38.10025,-78.61604,1
2022,8,27,19,54.2794444444,26.7438888889,1
2022,11,18,2,50.7291356749,3.6146822924,1
2022,3,28,18,54.2794444444,26.7438888889,1
2022,6,4,22,51.2833333333,12.3666666667,1
2022,6,22,22,52.4565337898,12.9708741108,1
2022,8,24,22,52.4565337898,12.9708741108,1
2022,9,2,22,50.5246013326,10.4137914702,1
2022,12,14,19,53.647984,10.262634,1
2022,1,6,3,52.4475,12.9208333333,1
2022,4,24,4,38.10025,-78.61604,1
2022,7,30,11,-34.184667,150.968548,1
2022,8,11,22,52.4475,12.9208333333,1
2022,8,12,23,45.5360801961,13.9449043396,1
2022,12,14,2,38.8191666667,-95.0925,1
2022,8,26,21,50.7291356749,3.6146822924,1
2022,3,7,22,52.4565337898,12.9708741108,1
2022,5,7,9,30.2766,-103.569,1
2022,5,9,7,-27.6575,-48.5436111111,1
2022,4,23,3,45.43,-76.64,1
2022,7,28,23,47.71704,37.55742,1
2022,10,5,0,43.235,3.165,1
2022,11,3,16,-36.1654720689,148.1574207631,1
2022,10,6,1,54.2794444444,26.7438888889,1
2022,7,29,0,27.9983986828,-15.554898984,1
2022,5,3,23,45.81289,14.69565,1
2022,5,8,9,30.2766,-103.569,1
2022,6,11,18,-17.8112,146.02983,1
2022,7,8,23,47.71704,37.55742,1
2022,10,22,21,36.4572222222,25.4236111111,1
2022,1,4,7,38.10025,-78.61604,1
2022,4,2,5,38.10025,-78.61604,1
2022,4,30,19,54.2794444444,26.7438888889,1
2022,5,6,1,-23.3087222222,28.4985,1
2022,5,31,4,36.2818675648,-118.0064718,1
2022,8,6,22,52.4149010366,6.9663311679,1
2022,8,7,20,54.2794444444,26.7438888889,1
2022,8,24,20,51.12,13.61,1
2022,9,29,1,52.2897578145,5.6123875482,1
2022,12,13,0,52.2897578145,5.6123875482,1
2022,2,2,20,52.4565337898,12.9708741108,1
2022,5,1,10,-18.70099,138.48763,1
2022,8,3,22,53.0325,20.7166666667,1
2022,5,31,2,30.2767,-103.595963,1
2022,7,19,21,52.2994228987,5.6064925557,1
2022,8,6,21,53.5,10.4833333333,1
2022,12,13,16,30.307713119,35.1327380741,1
2022,6,21,21,52.4475,12.9208333333,1
2022,7,28,20,54.2794137183,26.7437012787,1
2022,1,6,4,52.4561111111,12.9605555556,1
2022,5,31,20,28.3019444444,-16.5097222222,1
2022,8,7,21,53.0325,20.7166666667,1
2022,12,14,21,46.2852,14.53305,1
2022,12,15,1,30.2767,-103.595963,1
2022,8,4,21,48.5083333333,16.5530555556,1
2022,5,7,19,-15.71742,135.64177,1
2022,6,1,22,49.8832078627,4.217555031,1
2022,8,16,20,49.7822291155,17.0375502466,1
2022,1,4,0,53.4443994225,13.1200657576,1
2022,1,3,9,30.2766,-103.569,1
2022,4,22,6,-22.4105555556,-45.5352777778,1
2022,7,8,22,52.4565337898,12.9708741108,1
2022,8,10,23,52.4475,12.9211111111,1
2022,7,29,19,30.0506159611,35.0319844742,1
2022,8,22,19,54.2794444444,26.7438888889,1
2022,11,1,21,52.4475,12.9208333333,1
2022,5,7,6,-22.4105555556,-45.5352777778,1
2022,5,31,2,30.8231417933,-101.1957519433,1
2022,1,6,2,50.7291356749,3.6146822924,1
2022,8,5,23,54.4738888889,-1.1836111111,1
2022,10,31,18,54.2794444444,26.7438888889,1
2022,12,14,17,52.5030555556,12.7652777778,1
2022,4,14,18,-29.7831433892,151.1199948468,1
2022,8,2,5,30.2767,-103.595963,1
2022,9,15,0,38.10025,-78.61604,1
2022,6,27,23,27.9622661725,-15.5668361552,1
2022,1,5,17,60.3251677554,10.6486093726,1
2022,4,27,19,54.2794444444,26.7438888889,1
2022,7,9,23,47.71704,37.55742,1
2022,7,30,23,47.71704,37.55742,1
2022,8,3,23,47.71704,37.55742,1
2022,7,29,21,53.0325,20.7166666667,1
2022,10,16,17,52.4475,12.9208333333,1
2022,8,1,0,44.0588888889,5.5519444444,1
2022,5,30,19,30.5974,34.7623,1
2022,8,12,18,30.3080555556,35.1330555556,1
2022,8,17,19,54.2794444444,26.7438888889,1
2022,8,2,21,46.3,24.4,1
